Date,ET window,Platform,Target,Role / handle,Post or trigger,Comment angle,Engine: registry status,Engine: guards,Engine: did they post today?,Priority
2026-07-20,10:00-12:00,LinkedIn,Marlene Warner,"CEO, Massachusetts Council on Gaming and Health",Call for complete and appropriate regulation,The category needs product-specific rules,,,"LINKEDIN: ""Feed post View Marlene Warner’s profile Marlene Warner • 2nd Chief Executive Off""",High
2026-07-20,10:00-12:00,LinkedIn,Jacob Ward,Investigative journalist and CNN contributor,“Prediction markets are the apocalypse” critique,Take the criticism seriously and move to design choices,connector,connector,"LINKEDIN: ""Feed post View Jacob Ward’s profile Jacob Ward • 3rd+ CNN Contributor · Founder,""",High
2026-07-21,09:00-11:00,LinkedIn,Chuck Mather,Founder building event-risk products,Post about discrete-event hedging gaps for portfolio managers,Event contracts as cleaner hedges,candidate,,"LINKEDIN: ""Feed post Chuck Mather • 2nd Founder 11h • Follow A quick note on what I've been""",High
2026-07-21,09:00-11:00,X,Joey Knish / Circles Off,@JoeyKnish22 / @CirclesOffHQ,Broadcast segment on prediction markets’ bad press,Bad press is now a market-structure issue,,,,High
2026-07-21,09:00-11:00,X,Brandon Beckhardt,@beckhardt,Peer-to-peer prediction markets versus sportsbook limits,"Peer-to-peer changes risk, not every integrity problem",shortlist,,"X: ""Sportsbooks limit or ban customers when uncertainty gets too high for them to co""",High
2026-07-21,09:00-11:00,X,Bobby Goodlatte,@rsg,Prediction markets versus stock-market value creation,Information value and financial zero-sum are different questions,,,"X: ""I love prediction markets, but I worry they've confused young people about how t""",High
2026-07-21,10:00-12:00,X,Predictefy,@Predictefy,Weekly notional-volume league table,Ask for concentration and breadth,,,"X: ""Kalshi dominates prediction market notional volume, leading Polymarket by more t""",Critical
2026-07-21,10:00-12:00,X,IcoBeast,@icobeast,"Kalshi settlement design, 15-minute contracts and 60-second TWAP",Settlement design as product differentiation,,,,High
2026-07-21,10:00-12:00,X,Quant Chad,@Autonomous_Chad,Critique of mainstream reporting on prediction markets,"Correct the mechanics, keep the harder questions",candidate,,"X: ""Another slop hit piece against Prediction Markets.""",High
2026-07-22,09:00-11:00,X,Lucas Martin Calderon,@lmc_security,"Prediction-markets roundup covering settlement, courts, ChatGPT and Kalshi Pro",The category is becoming an infrastructure stack,candidate,,"X: ""prediction markets roundup""",High
2026-07-22,09:00-11:00,X,Daniel Sapkota,@defiance_cr,Grok alerts for a Polymarket market-making bot,The edge moves from alerting to execution quality,,,"X: ""I asked grok to alert my Polymarket bot when a event breaks in a market I'm maki""",High
2026-07-22,09:00-11:00,X,Perp.com,@perpdotcom,Perpetual futures on prediction-market prices,Exchange taxonomy is getting messy,,,"X: ""Prediction markets and perpetual futures just collided.""",High
2026-07-22,10:00-12:00,X,truth,@heistruthX,Why Kalshi and Polymarket appear dominant to different audiences,Audience and access shape perceived dominance,,,,High
2026-07-22,10:00-12:00,X,Caneleo,@Caneleo55,Polymarket “CREATE YOUR OWN MARKET” wordmark filing,Creation unlock versus moderation burden,,,"X: ""Looks like""",High
2026-07-22,10:00-12:00,X,Gondor,@gondorfi,Portfolio-backed borrowing against Polymarket positions,Correlated-position and liquidation risk,,,"X: ""Introducing Gondor v1""",High
2026-07-22,10:00-12:00,X,I am Prediction Markets,@KalshiSquare,Kalshi launching seven Minor League Baseball events,Breadth can outrun liquidity,,,"X: ""BREAKING: Kalshi releases markets for Minor League Baseball""",Medium
2026-07-22,10:00-12:00,X,Governor Hochul Press Office,@NYGovPress,New York employee ban used as a response to the teleprompter case,Employee policy is spreading beyond financial firms,,,"X: ""Kathy Hochul banned state employees from insider trading on prediction markets.""",Medium
2026-07-23,09:00-11:00,X,Polykinder,@polykinder,Messi and Lamine Yamal World Cup final probability story,Sport makes probabilities part of the story,,,"X: ""In 2007, Messi bathed baby Lamine Yamal for a charity shoot. In 2026, they meet """,Medium
2026-07-23,09:00-11:00,X,Walter Bloomberg,@DeItaone,World Cup final price and $1.24bn traded claim,The post-event retention number matters more,,,,High
2026-07-28,09:00-10:30,LinkedIn,Weekly operator round,"One operator, exchange or market-maker leader",Newest substantive operator post,Add the missing operating implication,,,,High
2026-07-30,09:00-10:30,LinkedIn,Weekly infrastructure round,"Data, settlement, surveillance, compliance or trading infrastructure",Newest technical or product post,Translate technical detail into commercial consequence,,,,High
2026-08-04,09:00-10:30,X,Weekly data-source round,"One credible volume, liquidity or market-quality account",Newest dataset or methodology post,"Ask for denominator, concentration or method",,,,High
2026-08-06,09:00-10:30,LinkedIn,Weekly critic round,"Lawyer, consumer-protection voice, journalist or informed sceptic",Strongest serious criticism of the week,"Acknowledge the valid concern, then sharpen the question",,,,High
2026-08-11,09:00-10:30,X,Weekly founder round,One early-stage founder or quiet builder,"Product launch, technical thread or first customer signal",Ask the difficult adoption or architecture question,,,,High
2026-08-13,09:00-10:30,LinkedIn,Weekly journalist round,"Reporter, editor, analyst or newsletter writer",Best sourced article or analytical post of the week,Add a commercial implication or overlooked source,,,,High
2026-08-18,09:00-10:30,X,Weekly regulation round,"Regulator, lawyer, policy researcher or court reporter","Primary filing, order or legal interpretation",Move from jurisdictional drama to practical friction,,,,Critical
2026-08-20,09:00-10:30,LinkedIn,Weekly personnel round,"Executive hire, specialist move or team build",Meaningful personnel announcement,Infer capability without inventing remit,,,,Medium
2026-08-25,09:00-10:30,X,Weekly media-narrative round,"Large publisher, broadcaster or cultural account",Post using prediction prices as part of a story,Notice how the price is being used,,,,Medium
2026-08-27,09:00-10:30,LinkedIn,Weekly partnership round,Company announcing a partnership or integration,"Material partnership involving audience, data, rights, licence, liquidity or distribution",Identify what each side actually contributes,,,,High
2026-09-01,09:00-10:30,X,Weekly market-design round,"Trader, researcher or product lead","Contract wording, settlement, liquidity or manipulation debate",Pull the debate towards architecture,,,,High
2026-09-03,09:00-10:30,LinkedIn,Weekly research round,"Academic, economist, data scientist or market analyst","New paper, dataset or methodological result",Translate the finding into an operating question,,,,High
2026-07-17,ASAP,LinkedIn,Haifeng Xu,"Professor, UChicago CS; Scientist, Google",He publicly credited Stuart's summary of his 'When do prophets profit' paper (2026-07-17),Reply in-thread: accuracy vs monetisable edge; ask where the gap bites hardest,connector,engine-added 2026-07-17,yes (see today's packs),Critical
2026-07-17,ASAP,LinkedIn/X,Justina Lee,Bloomberg reporter (@justinaknope),Broke the Jump Trading PM-desk story with Ira Boudway,Institutional liquidity professionalising; genuine question about what the desks trade,connector,engine-added 2026-07-17,yes (see today's packs),Critical
2026-07-17,ASAP,LinkedIn,Sarah Razaq Sallis,"Partner, Husch Blackwell (securities enforcement)",Posted on prediction markets enforcement,Who counts as an insider when the underlying is a speech,contact,engine-added 2026-07-17,yes (see today's packs),Critical
